Player,Age,Status,Start Year,End Year,Hall of Fame,Michael Jordan Most Valuable Player,Bill Russell NBA Finals MVP,All-NBA First Team,All-NBA Second Team,All-NBA Third Team,Hakeem Olajuwon Defensive Player Of The Year,All-NBA Defensive First Team,All-NBA Defensive Second Team,John Havlicek Sixth Man Of The Year,George Mikan Most Improved Player,Player Of The Month,Player Of The Week,Wilt Chamberlain Rookie Of The Year,All-Rookie First Team,All-Rookie Second Team,Rookie Of The Month,
Kareem Abdul-Jabbar,75,FALSE,1969,1989,TRUE,6,2,10,5,0,0,5,6,0,0,2,7,1,1,0,0,Kareem_Abdul-Jabbar.png
Michael Jordan,60,FALSE,1984,2003,TRUE,5,6,10,1,0,1,9,0,0,0,16,25,1,1,0,3,Michael_Jordan.png
Bill Russell,88,FALSE,1956,1969,TRUE,5,0,3,8,0,0,1,0,0,0,0,0,0,0,0,0,Bill_Russell.png
Wilt Chamberlain,63,FALSE,1959,1973,TRUE,4,1,7,3,0,0,2,0,0,0,0,0,1,0,0,0,Wilt_Chamberlain.png
LeBron James,38,TRUE,2003,None,FALSE,4,4,13,3,2,0,5,1,0,0,40,67,1,1,0,6,LeBron_James.png
Larry Bird,66,FALSE,1978,1992,TRUE,3,2,9,1,0,0,0,3,0,0,7,15,1,1,0,0,Larry_Bird.png
Magic Johnson,63,FALSE,1979,1996,TRUE,3,3,9,1,0,0,0,0,0,0,6,18,0,1,0,0,Magic_Johnson.png
Moses Malone,60,FALSE,1974,1995,TRUE,3,1,4,4,0,0,1,1,0,0,4,7,0,0,0,0,Moses_Malone.png
Giannis Antetokounmpo,28,TRUE,2013,None,FALSE,2,1,4,2,0,1,4,1,0,1,9,21,0,0,1,0,Giannis_Antetokounmpo.png
Stephen Curry,35,TRUE,2009,None,FALSE,2,1,4,3,1,0,0,0,0,0,9,19,0,1,0,3,Stephen_Curry.png
Tim Duncan,46,FALSE,1997,2016,TRUE,2,3,10,3,2,0,8,7,0,0,3,23,1,1,0,6,Tim_Duncan.png
Nikola Jokic,28,TRUE,2014,None,FALSE,2,0,3,1,0,0,0,0,0,0,5,12,0,1,0,0,Nikola_Jokic.png
Karl Malone,59,FALSE,1985,2004,TRUE,2,0,11,2,1,0,3,1,0,0,7,23,0,1,0,1,Karl_Malone.png
Steve Nash,49,FALSE,1996,2015,TRUE,2,0,3,2,2,0,0,0,0,0,3,8,0,0,0,0,Steve_Nash.png
Bob Pettit,90,FALSE,1954,1965,TRUE,2,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,Bob_Pettit.png
Charles Barkley,60,FALSE,1984,2000,TRUE,1,0,5,5,1,0,0,0,0,0,4,11,0,1,0,0,Charles_Barkley.png
Kobe Bryant,41,FALSE,1996,2016,TRUE,1,2,11,2,2,0,9,3,0,0,17,33,0,0,1,0,Kobe_Bryant.png
Bob Cousy,94,FALSE,1950,1970,TRUE,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,Bob_Cousy.png
Dave Cowens,74,FALSE,1970,1983,TRUE,1,0,0,3,0,0,1,2,0,0,0,0,1,1,0,0,Dave_Cowens.png
Kevin Durant,34,TRUE,2007,None,FALSE,1,2,6,4,0,0,0,0,0,0,15,31,1,1,0,5,Kevin_Durant.png
Julius Erving,73,FALSE,1972,1987,TRUE,1,0,5,2,0,0,0,0,0,0,3,3,0,0,0,0,Julius_Erving.png
Kevin Garnett,46,FALSE,1995,2016,TRUE,1,0,4,3,2,1,9,3,0,0,9,20,0,0,1,0,Kevin_Garnett.png
James Harden,33,TRUE,2009,None,FALSE,1,0,6,0,1,0,0,0,1,0,11,26,0,0,1,0,James_Harden.png
Allen Iverson,47,FALSE,1996,2013,TRUE,1,0,3,3,1,0,0,0,0,0,4,23,1,1,0,2,Allen_Iverson.png
Bob McAdoo,71,FALSE,1972,1992,TRUE,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,Bob_McAdoo.png
Dirk Nowitzki,44,FALSE,1998,2019,FALSE,1,1,4,5,3,0,0,0,0,0,6,16,0,0,0,0,Dirk_Nowitzki.png
Shaquille O'Neal,51,FALSE,1992,2011,TRUE,1,3,8,2,4,0,0,3,0,0,12,20,1,1,0,4,Shaquille_O'Neal.png
Hakeem Olajuwon,60,FALSE,1984,2002,TRUE,1,2,6,3,3,2,5,4,0,0,6,12,0,1,0,3,Hakeem_Olajuwon.png
Willis Reed,80,FALSE,1964,1974,TRUE,1,2,1,4,0,0,1,0,0,0,0,0,1,1,0,0,Willis_Reed.png
Oscar Robertson,84,FALSE,1960,1974,TRUE,1,0,9,1,0,0,0,1,0,0,0,0,1,0,0,0,Oscar_Robertson.png
David Robinson,57,FALSE,1987,2003,TRUE,1,0,4,2,4,1,4,4,0,0,4,15,1,1,0,6,David_Robinson.png
Wes Unseld,74,FALSE,1968,1981,TRUE,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Wes_Unseld.png
